start_time,end_time,num_points
922.0,924.9,30
925.0,925.9,10
926.0,933.9,80
934.0,934.9,10
935.0,938.4,35
938.5,938.9,5
939.0,939.4,5
939.5,940.4,10
940.5,940.9,5
941.0,942.4,15
942.5,943.4,10
943.5,944.4,10
944.5,944.9,5
945.0,946.4,15
946.5,946.9,5
947.0,947.9,10
948.0,948.9,10
949.0,949.9,10
950.0,956.9,70
957.0,958.4,15
958.5,960.4,20
960.5,960.9,5
961.0,962.4,15
962.5,962.9,5
963.0,968.9,60
969.0,970.4,15
970.5,971.4,10
971.5,972.4,10
972.5,973.4,10
973.5,974.4,10
974.5,976.4,20
976.5,977.4,10
977.5,980.9,35
981.0,981.9,10
982.0,986.9,50
987.0,987.4,5
987.5,989.9,25
990.0,990.9,10
991.0,997.4,65
997.5,998.4,10
998.5,1011.9,135
1012.0,1012.4,5
1012.5,1015.4,30
1015.5,1016.9,15
1017.0,1017.4,5
1017.5,1018.4,10
1018.5,1020.9,25
1021.0,1021.4,5
1021.5,1022.4,10
1022.5,1023.9,15
1024.0,1026.4,25
1026.5,1027.9,15
1028.0,1028.9,10
1029.0,1029.4,5
1029.5,1030.9,15
1031.0,1031.9,10
1032.0,1035.4,35
1035.5,1035.9,5
1036.0,1042.9,70
1043.0,1044.4,15
1044.5,1047.4,30
1047.5,1048.9,15
1049.0,1052.9,40
1053.0,1055.9,30
1056.0,1056.4,5
1056.5,1058.9,25
1059.0,1059.4,5
1059.5,1060.4,10
1060.5,1060.9,5
1061.0,1064.9,40
1065.0,1065.4,5
1065.5,1065.9,5
1066.0,1066.4,5
1066.5,1067.9,15
1068.0,1068.9,10
1069.0,1069.4,5
1069.5,1074.4,50
1074.5,1074.9,5
1075.0,1076.4,15
1076.5,1076.9,5
1077.0,1077.4,5
1077.5,1078.4,10
1078.5,1080.9,25
1081.0,1081.4,5
1081.5,1083.4,20
1083.5,1083.9,5
1084.0,1084.9,10
1085.0,1087.9,30
1088.0,1089.4,15
1089.5,1089.9,5
1090.0,1090.9,10
1091.0,1091.9,10
1092.0,1093.4,15
1093.5,1094.9,15
1095.0,1095.9,10
1096.0,1103.4,75
1103.5,1103.9,5
1104.0,1106.4,25
1106.5,1106.9,5
1107.0,1107.4,5
1107.5,1107.9,5
1108.0,1108.4,5
1108.5,1108.9,5
1109.0,1109.9,10
1110.0,1110.4,5
1110.5,1111.4,10
1111.5,1112.4,10
1112.5,1112.9,5
1113.0,1114.9,20
1115.0,1115.9,10
1116.0,1116.4,5
1116.5,1117.4,10
1117.5,1119.4,20
1119.5,1123.4,40
1123.5,1124.4,10
1124.5,1125.9,15
1126.0,1126.9,10
1127.0,1128.4,15
1128.5,1129.9,15
1130.0,1131.9,20
1132.0,1132.4,5
1132.5,1133.4,10
1133.5,1133.9,5
1134.0,1135.9,20
1136.0,1137.4,15
1137.5,1141.9,45
1142.0,1143.4,15
1143.5,1143.9,5
1144.0,1144.9,10
1145.0,1148.4,35
1148.5,1148.9,5
1149.0,1150.4,15
1150.5,1151.4,10
1151.5,1154.9,35
1155.0,1155.9,10
1156.0,1160.9,50
1161.0,1162.4,15
1162.5,1162.9,5
1163.0,1165.9,30
1166.0,1166.4,5
1166.5,1166.9,5
1167.0,1170.9,40
1171.0,1171.9,10
1172.0,1175.9,40
1176.0,1176.4,5
1176.5,1178.9,25
1179.0,1179.9,10
1180.0,1190.9,110
1191.0,1192.4,15
1192.5,1197.4,50
1197.5,1197.9,5
1198.0,1198.4,5
1198.5,1198.9,5
1199.0,1199.9,10
1200.0,1200.9,10
1201.0,1201.9,10
1202.0,1202.4,5
1202.5,1203.4,10
1203.5,1206.4,30
1206.5,1206.9,5
1207.0,1210.4,35
1210.5,1211.4,10
1211.5,1214.4,30
